%time,field.header.seq,field.header.stamp,field.header.frame_id,42.33709335,-71.0898819,field.altitude,field.northing,field.easting,field.zone
1.58095E+18,162,1.58095E+18,,42.33709717,-71.0898819,-26.59999847,4689320.035,327833.8297,19T
1.58095E+18,163,1.58095E+18,,42.33710098,-71.0898819,-26.59999847,4689320.459,327833.8401,19T
1.58095E+18,164,1.58095E+18,,42.33710098,-71.0898819,-26.59999847,4689320.459,327833.8401,19T
1.58095E+18,165,1.58095E+18,,42.33710098,-71.0898819,-26.59999847,4689320.459,327833.8401,19T
1.58095E+18,166,1.58095E+18,,42.33710098,-71.0898819,-26.59999847,4689320.459,327833.8401,19T
1.58095E+18,167,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,168,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,169,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,170,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,171,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,172,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,173,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,174,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,175,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,176,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,177,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,178,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,179,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,180,1.58095E+18,,42.33710098,-71.0898819,-26.5,4689320.459,327833.8401,19T
1.58095E+18,181,1.58095E+18,,42.33710098,-71.0898819,-26.39999962,4689320.459,327833.8401,19T
1.58095E+18,182,1.58095E+18,,42.33710098,-71.0898819,-26.39999962,4689320.459,327833.8401,19T
1.58095E+18,183,1.58095E+18,,42.33710098,-71.0898819,-26.39999962,4689320.459,327833.8401,19T
1.58095E+18,184,1.58095E+18,,42.33710098,-71.0898819,-26.39999962,4689320.459,327833.8401,19T
1.58095E+18,185,1.58095E+18,,42.33710098,-71.0898819,-26.39999962,4689320.459,327833.8401,19T
1.58095E+18,186,1.58095E+18,,42.33710098,-71.0898819,-26.39999962,4689320.459,327833.8401,19T
1.58095E+18,187,1.58095E+18,,42.33710098,-71.0898819,-26.39999962,4689320.459,327833.8401,19T
1.58095E+18,188,1.58095E+18,,42.3371048,-71.0898819,-26.29999924,4689320.883,327833.8505,19T
1.58095E+18,189,1.58095E+18,,42.33710098,-71.0898819,-26.19999886,4689320.459,327833.8401,19T
1.58095E+18,190,1.58095E+18,,42.33709335,-71.0898819,-26,4689319.612,327833.8193,19T
1.58095E+18,191,1.58095E+18,,42.33708191,-71.08987427,-25.69999886,4689318.326,327834.4166,19T
1.58095E+18,192,1.58095E+18,,42.33706284,-71.08986664,-25.59999847,4689316.192,327834.9931,19T
1.58095E+18,193,1.58095E+18,,42.33703995,-71.08985138,-25.39999962,4689313.62,327836.1877,19T
1.58095E+18,194,1.58095E+18,,42.33702087,-71.08982849,-25.19999886,4689311.455,327838.0213,19T
1.58095E+18,195,1.58095E+18,,42.3370018,-71.08979797,-25,4689309.276,327840.4834,19T
1.58095E+18,196,1.58095E+18,,42.33698654,-71.08975983,-25,4689307.504,327843.5845,19T
1.58095E+18,197,1.58095E+18,,42.33698273,-71.08971405,-24.89999962,4689306.988,327847.3453,19T
1.58095E+18,198,1.58095E+18,,42.33698273,-71.08966827,-25.09999847,4689306.895,327851.1166,19T
1.58095E+18,199,1.58095E+18,,42.33699417,-71.08963013,-25.09999847,4689308.089,327854.2905,19T
1.58095E+18,200,1.58095E+18,,42.33700943,-71.08959198,-25,4689309.706,327857.4749,19T
1.58095E+18,201,1.58095E+18,,42.33703232,-71.08956146,-25.19999886,4689312.186,327860.0515,19T
1.58095E+18,202,1.58095E+18,,42.33705902,-71.0895462,-25.19999886,4689315.12,327861.3815,19T
1.58095E+18,203,1.58095E+18,,42.33708954,-71.08953094,-25.29999924,4689318.478,327862.7218,19T
1.58095E+18,204,1.58095E+18,,42.33711624,-71.08953094,-25.29999924,4689321.443,327862.7947,19T
1.58095E+18,205,1.58095E+18,,42.33714676,-71.08953857,-25.39999962,4689324.847,327862.2494,19T
1.58095E+18,206,1.58095E+18,,42.33717346,-71.08956146,-25.5,4689327.859,327860.4366,19T
1.58095E+18,207,1.58095E+18,,42.33719635,-71.08959198,-25.59999847,4689330.462,327857.9849,19T
1.58095E+18,208,1.58095E+18,,42.33720779,-71.08963013,-25.79999924,4689331.81,327854.8734,19T
1.58095E+18,209,1.58095E+18,,42.33721161,-71.0896759,-26,4689332.326,327851.1126,19T
1.58095E+18,210,1.58095E+18,,42.33720398,-71.08971405,-26.19999886,4689331.556,327847.9491,19T
1.58095E+18,211,1.58095E+18,,42.33718872,-71.0897522,-26.39999962,4689329.939,327844.7647,19T
1.58095E+18,212,1.58095E+18,,42.33716965,-71.08978271,-26.59999847,4689327.883,327842.1985,19T
1.58095E+18,213,1.58095E+18,,42.33714294,-71.08979797,-26.5,4689324.949,327840.8686,19T
1.58095E+18,214,1.58095E+18,,42.33711624,-71.0898056,-26.09999847,4689321.999,327840.1672,19T
1.58095E+18,215,1.58095E+18,,42.33708954,-71.08979797,-25.69999886,4689319.018,327840.7228,19T
1.58095E+18,216,1.58095E+18,,42.33706284,-71.08979034,-25.29999924,4689316.038,327841.2785,19T
1.58095E+18,217,1.58095E+18,,42.33703995,-71.08978271,-24.89999962,4689313.481,327841.8446,19T
1.58095E+18,218,1.58095E+18,,42.33702087,-71.08975983,-24.5,4689311.316,327843.6782,19T
1.58095E+18,219,1.58095E+18,,42.33700562,-71.08973694,-24.09999847,4689309.576,327845.5222,19T
