%time,4220.583,7106.00615,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,,,
1.58E+18,4220.58002,7106.00457,31.2,602976.8685,6940394.642,43,V,,,
1.58E+18,4220.57988,7106.00452,31.5,602977.5605,6940372.367,43,V,,,
1.58E+18,4220.57976,7106.00431,31.4,602967.6343,6940360.911,43,V,,,
1.58E+18,4220.57984,7106.00422,30.8,602962.1522,6940371.889,43,V,,,
1.58E+18,4220.58002,7106.0042,30.4,602961.4603,6940394.163,43,V,,,
1.58E+18,4220.58016,7106.00423,30,602961.1143,6940405.3,43,V,,,
1.58E+18,4220.58015,7106.00363,29.2,602930.298,6940404.343,43,V,,,
1.58E+18,4220.58012,7106.00368,29.3,602930.298,6940404.343,43,V,,,
1.58E+18,4220.58014,7106.00378,29.6,602935.434,6940404.502,43,V,,,
1.58E+18,4220.58021,7106.00375,29.6,602935.0882,6940415.64,43,V,,,
1.58E+18,4220.58041,7106.0036,28.9,602929.2604,6940437.754,43,V,,,
1.58E+18,4220.58069,7106.00337,28.2,602913.1608,6940459.55,43,V,,,
1.58E+18,4220.58081,7106.00318,27.3,602902.1973,6940481.505,43,V,,,
1.58E+18,4220.58091,7106.00306,26.7,602896.7156,6940492.483,43,V,,,
1.58E+18,4220.58091,7106.00303,26.3,602896.7156,6940492.483,43,V,,,
1.58E+18,4220.58091,7106.00299,25.9,602891.5797,6940492.324,43,V,,,
1.58E+18,4220.58084,7106.00301,25.9,602897.0614,6940481.346,43,V,,,
1.58E+18,4220.58077,7106.00316,25.5,602902.5431,6940470.368,43,V,,,
1.58E+18,4220.58069,7106.00331,25.3,602913.1608,6940459.55,43,V,,,
1.58E+18,4220.58058,7106.00345,25.1,602918.6426,6940448.572,43,V,,,
1.58E+18,4220.58042,7106.00355,25,602924.1244,6940437.595,43,V,,,
1.58E+18,4220.58017,7106.00365,25,602930.298,6940404.343,43,V,,,
1.58E+18,4220.57965,7106.0038,25.6,602942.2995,6940348.976,43,V,,,
1.58E+18,4220.57926,7106.00391,26,602948.8192,6940304.587,43,V,,,
1.58E+18,4220.57897,7106.00402,26.4,602954.9932,6940271.336,43,V,,,
1.58E+18,4220.57873,7106.00408,26.5,602955.685,6940249.061,43,V,,,
1.58E+18,4220.57854,7106.00418,26.7,602961.5132,6940226.947,43,V,,,
1.58E+18,4220.57833,7106.00427,26.8,602967.3414,6940204.832,43,V,,,
1.58E+18,4220.57811,7106.00432,26.8,602973.1697,6940182.717,43,V,,,
1.58E+18,4220.57793,7106.00436,26.8,602973.8616,6940160.443,43,V,,,
1.58E+18,4220.57778,7106.00444,26.7,602979.69,6940138.328,43,V,,,
1.58E+18,4220.57766,7106.00453,26.6,602985.1725,6940127.351,43,V,,,
1.58E+18,4220.57751,7106.00461,26.5,602990.655,6940116.373,43,V,,,
1.58E+18,4220.57739,7106.00468,26.3,602991.347,6940094.099,43,V,,,
1.58E+18,4220.57726,7106.00476,26.2,602996.8296,6940083.122,43,V,,,
1.58E+18,4220.57721,7106.00498,26,603007.1027,6940083.441,43,V,,,
1.58E+18,4220.57721,7106.00518,25.7,603017.3758,6940083.76,43,V,,,
1.58E+18,4220.57714,7106.00523,25.5,603022.8585,6940072.783,43,V,,,
1.58E+18,4220.57717,7106.00528,25.2,603022.8585,6940072.783,43,V,,,
1.58E+18,4220.57717,7106.00534,24.9,603027.995,6940072.942,43,V,,,
1.58E+18,4220.57721,7106.00545,24.8,603032.7855,6940084.239,43,V,,,
1.58E+18,4220.57719,7106.00547,24.7,603033.1316,6940073.102,43,V,,,
1.58E+18,4220.5771,7106.0054,24.8,603033.1316,6940073.102,43,V,,,
1.58E+18,4220.577,7106.00534,25,603028.3412,6940061.805,43,V,,,
1.58E+18,4220.57695,7106.00531,24.9,603028.6873,6940050.668,43,V,,,
1.58E+18,4220.57704,7106.00546,24.6,603033.4778,6940061.965,43,V,,,
1.58E+18,4220.57707,7106.00555,24.4,603038.6144,6940062.124,43,V,,,
1.58E+18,4220.57708,7106.00564,24.2,603043.751,6940062.284,43,V,,,
1.58E+18,4220.57706,7106.00573,24.1,603048.8875,6940062.444,43,V,,,
1.58E+18,4220.57708,7106.00581,24,603054.0241,6940062.603,43,V,,,
1.58E+18,4220.57713,7106.00589,23.8,603053.6779,6940073.741,43,V,,,
1.58E+18,4220.57726,7106.006,23.6,603063.6048,6940085.197,43,V,,,
1.58E+18,4220.57746,7106.0062,23.7,603073.1854,6940107.791,43,V,,,
1.58E+18,4220.57767,7106.00638,23.7,603077.6293,6940130.225,43,V,,,
1.58E+18,4220.57787,7106.00655,23.7,603087.2096,6940152.818,43,V,,,
1.58E+18,4220.57805,7106.00671,23.7,603096.7897,6940175.412,43,V,,,
1.58E+18,4220.57821,7106.00688,23.8,603101.2334,6940197.846,43,V,,,
1.58E+18,4220.57835,7106.00703,24,603111.1597,6940209.302,43,V,,,
1.58E+18,4220.57846,7106.00715,24.2,603115.9496,6940220.599,43,V,,,
1.58E+18,4220.5785,7106.00723,24.4,603120.7395,6940231.896,43,V,,,
1.58E+18,4220.57853,7106.00729,24.5,603120.7395,6940231.896,43,V,,,
