%time,4220.66048,7105.71575,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1.58E+18,4220.63595,7105.80905,11.1,592760.9092,6946323.982,43,V
1.58E+18,4220.63556,7105.81025,12.1,592823.6808,6946281.156,43,V
1.58E+18,4220.63501,7105.81111,11.7,592871.3861,6946226.762,43,V
1.58E+18,4220.63461,7105.81211,12.2,592923.907,6946183.651,43,V
1.58E+18,4220.63443,7105.8134,12.4,592991.1841,6946163.248,43,V
1.58E+18,4220.6342,7105.81473,12.4,593058.462,6946142.847,43,V
1.58E+18,4220.63394,7105.8165,11.4,593151.6899,6946112.031,43,V
1.58E+18,4220.63382,7105.81796,11,593223.7832,6946102.916,43,V
1.58E+18,4220.63338,7105.81918,11.4,593286.8792,6946048.961,43,V
1.58E+18,4220.63277,7105.82051,11.3,593360.5463,6945984.159,43,V
1.58E+18,4220.63245,7105.82181,11.1,593428.1449,6945952.628,43,V
1.58E+18,4220.63205,7105.82297,11.1,593485.8049,6945909.67,43,V
1.58E+18,4220.6319,7105.82424,10.7,593552.7763,6945900.417,43,V
1.58E+18,4220.63157,7105.82547,10.4,593615.5663,6945857.606,43,V
1.58E+18,4220.63133,7105.82662,10.4,593677.7271,6945837.073,43,V
1.58E+18,4220.6309,7105.82775,11.4,593735.3924,6945794.119,43,V
1.58E+18,4220.63064,7105.82893,11.6,593797.8711,6945762.45,43,V
1.58E+18,4220.63035,7105.83023,11.2,593865.4786,6945730.927,43,V
1.58E+18,4220.62986,7105.83144,10.9,593928.5922,6945676.985,43,V
1.58E+18,4220.62949,7105.8331,10.9,594017.0306,6945634.91,43,V
1.58E+18,4220.62913,7105.83427,10.1,594074.3872,6945603.1,43,V
1.58E+18,4220.62891,7105.8355,8.7,594141.6837,6945582.721,43,V
1.58E+18,4220.62855,7105.83662,8.6,594199.3595,6945539.776,43,V
1.58E+18,4220.62816,7105.83787,8.8,594262.1649,6945496.977,43,V
1.58E+18,4220.62827,7105.83921,7.6,594333.6401,6945510.161,43,V
1.58E+18,4220.62794,7105.84035,6.7,594391.002,6945478.357,43,V
1.58E+18,4220.62738,7105.84165,7.7,594459.5752,6945413.433,43,V
1.58E+18,4220.62698,7105.84313,7.9,594537.7712,6945371.079,43,V
1.58E+18,4220.62668,7105.8445,8.6,594610.5224,6945339.718,43,V
